Nr,imię,nazwisko,Garrick Ohlsson,John Alison,Yulianna Avdeeva,Michel Beroff,Sa Chen,Dang Thai Son,Akiko Ebi,Nelson Goerner,Krzysztof Jabłoński,Kevin Kenner,Momo Kodama,Robert McDonald,Piotr Paleczny,Ewa Pobłocka,K. Popowa-Zydroń,John Rink,Wojciech Świtała
5,Zitong,Wang,14.650273994014068,19.19505750913809,17.990802351136352,9.119429999418676,8.158613381453215,,12.153332486665398,15.0651838240528,8.434116663733723,9.942831650505308,13.0,16.71867872080547,12.6261845491872,16.748170285326548,16.140543535541283,9.819413728216436,8.42799542799314
15,William,Yang,14.650273994014068,8.435220782740352,8.840998040719713,9.119429999418676,16.748170285326548,11.367006838144546,8.427995427993144,4.580404409630905,14.985166667941863,17.02258993354565,13.0,,16.73815450812798,11.594436143002548,18.234239225902137,12.31844579890352,11.221998221997332
24,Piotr,Alexewicz,14.650273994014068,13.81513914593922,15.703351273532192,17.123105625617665,9.87652476222788,13.816496580927723,21.466675133346037,13.317720588315819,8.434116663733723,15.252650362785564,15.507132682112035,16.71867872080547,14.682169528657589,9.87652476222788,11.953152154819573,14.817477869590606,19.604006604009903
29,Kevin,Chen,14.650273994014068,17.4017513880718,20.278253428740513,19.790997501017326,18.466081666101214,11.367006838144546,10.290663957329272,11.570257352578835,19.352533337413956,13.482710792025479,10.492867317887965,13.67612340378281,16.73815450812798,13.312347523777214,14.046847845180427,12.31844579890352,19.604006604009903
47,David,Khrikuli,5.573767026936685,19.19505750913809,11.128449118323873,9.119429999418676,11.594436143002548,18.71547606649408,12.153332486665398,16.812647059789782,12.801483333205816,17.02258993354565,13.0,10.633568086760151,14.682169528657589,8.158613381453215,7.765760774097863,14.817477869590606,8.42799542799314
51,Shiori,Kuwahara,14.650273994014068,12.021833024872931,8.840998040719713,14.455213750218002,11.594436143002548,8.917517095361367,14.016001016001526,13.317720588315819,12.801483333205816,4.633012938225052,18.01426536422407,19.76123403782813,12.6261845491872,15.030258904551882,18.234239225902137,17.31650994027769,14.016001016001523
57,Tianyou,Li,10.112020510475377,12.021833024872931,13.415900195928034,9.119429999418676,18.466081666101214,8.917517095361367,6.565326898657017,8.07533088110487,8.434116663733723,8.172892079745223,7.98573463577593,7.591012769737492,6.458229610776028,6.440702000678548,9.859456464458718,9.819413728216436,11.221998221997332
62,Eric,Lu,19.18852747755276,13.81513914593922,15.703351273532192,19.790997501017326,11.594436143002548,,12.153332486665398,16.812647059789782,10.61779999846977,13.482710792025479,15.507132682112035,,14.682169528657589,16.748170285326548,14.046847845180427,19.815542010964776,11.221998221997332
64,Tianyao,Lyu,5.573767026936685,10.22852690380664,11.128449118323873,11.787321874818339,8.158613381453215,11.367006838144546,17.74133807467378,15.0651838240528,19.352533337413956,18.792529504305733,7.98573463577593,13.67612340378281,18.79413948759837,20.183993046875884,,7.32038165752935,16.810003810005714
73,Vincent,Ong,14.650273994014068,6.641914661674062,13.415900195928034,11.787321874818339,18.466081666101214,21.164965809277255,15.878669545337655,18.560110295526766,17.168850002677907,11.712771221265394,20.521398046336106,10.633568086760151,6.458229610776028,15.030258904551882,5.672065083737008,17.31650994027769,8.42799542799314
81,Miyu,Shindo,14.650273994014068,10.22852690380664,6.5535469631155525,11.787321874818339,9.87652476222788,11.367006838144546,12.153332486665398,9.822794116841852,10.61779999846977,13.482710792025479,7.98573463577593,7.591012769737492,8.514214590246418,9.87652476222788,14.046847845180427,7.32038165752935,14.016001016001523
