rank1,participant1,score1,rank2,participant2,score2,score_diff,t_statistic,p_value,significant_05,significant_01,cohens_d,effect_size
1,Eric Lu,23.03,2,Kevin Chen,22.41,0.620000000000001,1.226963243850084,0.22937867041164522,False,False,0.4492864853737112,small
2,Kevin Chen,22.41,3,William Yang,22.38,0.030000000000001137,0.06339340019236582,0.9498602497811031,False,False,0.022734055936077933,small
3,William Yang,22.38,4,Tianyou Li,21.86,0.5199999999999996,0.9397010534220785,0.35463584690676475,False,False,0.33718894806325117,small
4,Tianyou Li,21.86,5,David Khrikuli,21.35,0.509999999999998,0.8460925837660122,0.4037839275630122,False,False,0.2991389017462971,small
5,David Khrikuli,21.35,6,Shiori Kuwahara,21.28,0.07000000000000028,0.12436601350923983,0.9018034392021762,False,False,0.04397002575076064,small
6,Shiori Kuwahara,21.28,7,Vincent Ong,21.23,0.05000000000000071,0.07950199651827196,0.9371284509558603,False,False,0.028108200427969698,small
7,Vincent Ong,21.23,8,Yang (Jack) Gao,21.18,0.05000000000000071,0.09282631132440544,0.9266202845390021,False,False,0.032819057105010346,small
8,Yang (Jack) Gao,21.18,9,Piotr Alexewicz,21.08,0.10000000000000142,0.16743236399609618,0.8680834992547646,False,False,0.059196279985866976,small
9,Tomoharu Ushida,21.08,11,Miyu Shindo,20.82,0.259999999999998,0.48154258497436314,0.6335129334042794,False,False,0.17327215173228266,small
11,Miyu Shindo,20.82,12,Hyuk Lee,20.79,0.030000000000001137,0.06359542245891209,0.9497006861492527,False,False,0.022953695803105224,small
12,Hyo Lee,20.79,14,Tianyao Lyu,20.78,0.00999999999999801,0.02882250846405169,0.9771970384750147,False,False,0.01052449203309646,small
14,Tianyao Lyu,20.78,15,Zitong Wang,20.69,0.08999999999999986,0.15230993900578474,0.8799622341341982,False,False,0.05561572621713619,small
15,Zitong Wang,20.69,16,Gabriele Strata,20.63,0.060000000000002274,0.10095061841057135,0.920239762328163,False,False,0.036285424811430315,small
16,Gabriele Strata,20.63,17,Piotr Pawlak,20.59,0.03999999999999915,0.07826117849820105,0.9381076308928833,False,False,0.02766950500986439,small
17,Piotr Pawlak,20.59,18,Kai-Min Chang,20.52,0.07000000000000028,0.14471489388809045,0.8858727552112089,False,False,0.052117765434808457,small
18,Kai-Min Chang,20.52,19,Yehuda Prokopowicz,20.36,0.16000000000000014,0.29780670361852146,0.767837496934467,False,False,0.10735229799137117,small
19,Yehuda Prokopowicz,20.36,20,Miki Yamagata,20.35,0.00999999999999801,0.029898221823337068,0.9763339200715984,False,False,0.01057061769835063,small
20,Miki Yamagata,20.35,21,Eric Guo,20.32,0.030000000000001137,0.05006507468878599,0.9603817310863505,False,False,0.017700676906525777,small
21,Yifan Wu,20.32,23,Xiaoxuan Li,20.3,0.019999999999999574,0.04299158626042695,0.965983965398207,False,False,0.015442079458994167,small
23,Xiaoxuan Li,20.3,24,Anthony Ratinov,20.12,0.17999999999999972,0.3258395236075255,0.7468077627079983,False,False,0.11897977147105256,small
24,Anthony Ratinov,20.12,25,Yumeka Nakagawa,19.98,0.14000000000000057,0.2956271144140526,0.7694860627249024,False,False,0.10643941522127194,small
25,Yumeka Nakagawa,19.98,26,Xuehong Chen,19.9,0.08000000000000185,0.14492821169295547,0.8856765435334147,False,False,0.05123986063666416,small
26,Xuehong Chen,19.9,27,Jonas Aumiller,19.81,0.08999999999999986,0.1707870936079898,0.8654664987571691,False,False,0.06038235601467563,small
27,Jonas Aumiller,19.81,28,Adam Kałduński,19.72,0.08999999999999986,0.18685846074035434,0.8529891596597456,False,False,0.0671281875899546,small
28,Adam Kałduński,19.72,29,Zixi Chen,19.29,0.4299999999999997,0.7447750792337604,0.46201694814018035,False,False,0.2684877320885129,small
29,Zixi Chen,19.29,30,Nathalia Milstein,19.26,0.029999999999997584,0.04807804547412078,0.9619528630052401,False,False,0.016998155990473003,small
30,Nathalia Milstein,19.26,31,Hao Rao,19.15,0.11000000000000298,0.17840809274892874,0.8595271974928523,False,False,0.06307678610066302,small
31,Hao Rao,19.15,32,Zihan Jin,19.14,0.00999999999999801,0.018797449122836117,0.985119407252842,False,False,0.006645901871883269,small
32,Zihan Jin,19.14,33,Ruben Micieli,19.12,0.019999999999999574,0.04509575284442467,0.9643112321423639,False,False,0.01594375631950261,small
33,Ruben Micieli,19.12,34,Yubo Deng,19.09,0.030000000000001137,0.03811560940110517,0.9698399106283918,False,False,0.01370644140427818,small
34,Yubo Deng,19.09,35,Zhexiang Li,19.08,0.010000000000001563,0.017101792488651388,0.9864650058136135,False,False,0.006148459100475883,small
35,Zhexiang Li,19.08,36,Yanyan Bao,18.82,0.259999999999998,0.46571408168458894,0.6445745006397375,False,False,0.16465479262661928,small
36,Yanyan Bao,18.82,37,Xiaoyu Hu,18.81,0.010000000000001563,0.020009024623134235,0.9841604177890702,False,False,0.00707425849797341,small
37,Xiaoyu Hu,18.81,38,Jacky Zhang,18.8,0.00999999999999801,0.022250260430223115,0.9823864931365374,False,False,0.007866655016688737,small
38,Jacky Zhang,18.8,39,Kwanwook Lee,18.72,0.08000000000000185,0.16778223602533926,0.8678104953278604,False,False,0.05931997842807961,small
39,Kwanwook Lee,18.72,40,Philipp Lynov,18.71,0.00999999999999801,0.030095298475297714,0.9761779715115917,False,False,0.01064029481685809,small
